measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
6,Incidence,1,Global,3,Both,9,20-24 years,845,Acute lymphoid leukemia,3,Rate,2021,0.78142154481,0.89956661079,0.5293739751300001
6,Incidence,1,Global,3,Both,10,25-29 years,845,Acute lymphoid leukemia,3,Rate,2021,0.67077937406,0.7845328186899999,0.44714720597999996
6,Incidence,1,Global,3,Both,11,30-34 years,845,Acute lymphoid leukemia,3,Rate,2021,0.64961090068,0.7686450096099999,0.42234113956
6,Incidence,1,Global,3,Both,12,35-39 years,845,Acute lymphoid leukemia,3,Rate,2021,0.69471530872,0.81643370963,0.45088724267999997
6,Incidence,1,Global,3,Both,13,40-44 years,845,Acute lymphoid leukemia,3,Rate,2021,0.71031583559,0.88678853082,0.47827218965
6,Incidence,1,Global,3,Both,14,45-49 years,845,Acute lymphoid leukemia,3,Rate,2021,0.77435141633,0.95470079338,0.48083691418999996
6,Incidence,1,Global,3,Both,15,50-54 years,845,Acute lymphoid leukemia,3,Rate,2021,0.89228322519,1.13716585712,0.54636584512
6,Incidence,1,Global,3,Both,16,55-59 years,845,Acute lymphoid leukemia,3,Rate,2021,1.15122390885,1.44548504694,0.72257520381
6,Incidence,1,Global,3,Both,17,60-64 years,845,Acute lymphoid leukemia,3,Rate,2021,1.28809569166,1.6901228699000002,0.8624569889399999
6,Incidence,1,Global,3,Both,18,65-69 years,845,Acute lymphoid leukemia,3,Rate,2021,1.5591950883599999,1.97891385999,1.00921740443
6,Incidence,1,Global,3,Both,19,70-74 years,845,Acute lymphoid leukemia,3,Rate,2021,1.85322809426,2.37179860726,1.2359493312
6,Incidence,1,Global,3,Both,20,75-79 years,845,Acute lymphoid leukemia,3,Rate,2021,2.07028001283,2.6198161735900003,1.38896249278
6,Incidence,1,Global,3,Both,28,<1 year,845,Acute lymphoid leukemia,3,Rate,2021,5.24349269964,7.651857786430001,3.10689205342
6,Incidence,1,Global,3,Both,30,80-84 years,845,Acute lymphoid leukemia,3,Rate,2021,1.92626520152,2.37466510008,1.3973730098400001
6,Incidence,1,Global,3,Both,31,85-89 years,845,Acute lymphoid leukemia,3,Rate,2021,1.99545833535,2.47727137155,1.43110392164
6,Incidence,1,Global,3,Both,32,90-94 years,845,Acute lymphoid leukemia,3,Rate,2021,2.18541296269,2.6972945577200003,1.67795656609
6,Incidence,1,Global,3,Both,34,2-4 years,845,Acute lymphoid leukemia,3,Rate,2021,2.62394484844,3.5820985635099998,1.6471326784000002
6,Incidence,1,Global,3,Both,16,55-59 years,302,Diarrheal diseases,3,Rate,2021,34658.81526491188,41108.77360383281,27300.48055463446
6,Incidence,1,Global,3,Both,17,60-64 years,302,Diarrheal diseases,3,Rate,2021,39236.9058322375,45862.21175317478,31912.55240578465
6,Incidence,1,Global,3,Both,18,65-69 years,302,Diarrheal diseases,3,Rate,2021,42707.26020804002,48591.36053575719,36641.34262301358
6,Incidence,1,Global,3,Both,19,70-74 years,302,Diarrheal diseases,3,Rate,2021,47830.23257514887,55681.54286746314,40634.30548823764
6,Incidence,1,Global,3,Both,20,75-79 years,302,Diarrheal diseases,3,Rate,2021,53948.53318452851,64239.39663505893,44560.3079166931
6,Incidence,1,Global,3,Both,28,<1 year,302,Diarrheal diseases,3,Rate,2021,101575.28991511649,116412.13636264265,87338.22550071115
6,Incidence,1,Global,3,Both,30,80-84 years,302,Diarrheal diseases,3,Rate,2021,56798.61637946232,65677.8328713386,48093.528421432755
6,Incidence,1,Global,3,Both,31,85-89 years,302,Diarrheal diseases,3,Rate,2021,61355.71535778256,70285.83086725688,52708.91410280638
6,Incidence,1,Global,3,Both,32,90-94 years,302,Diarrheal diseases,3,Rate,2021,66446.14471991498,76937.673179729,55708.50125291611
6,Incidence,1,Global,3,Both,16,55-59 years,533,Vascular intestinal disorders,3,Rate,2021,23.88471544634,33.26709596605,16.52415445581
6,Incidence,1,Global,3,Both,17,60-64 years,533,Vascular intestinal disorders,3,Rate,2021,38.37218440746,51.6332186857,26.31707979177
6,Incidence,1,Global,3,Both,18,65-69 years,533,Vascular intestinal disorders,3,Rate,2021,58.361648146,75.256348358,42.56629934019
6,Incidence,1,Global,3,Both,19,70-74 years,533,Vascular intestinal disorders,3,Rate,2021,95.21276667621001,120.34659145188999,74.48054600945
6,Incidence,1,Global,3,Both,20,75-79 years,533,Vascular intestinal disorders,3,Rate,2021,125.03202539281,152.41038904756,98.24671678506
6,Incidence,1,Global,3,Both,28,<1 year,533,Vascular intestinal disorders,3,Rate,2021,0.0,0.0,0.0
6,Incidence,1,Global,3,Both,17,60-64 years,535,Pancreatitis,3,Rate,2021,63.599915879550004,88.04032087988,44.12217027517
6,Incidence,1,Global,3,Both,18,65-69 years,535,Pancreatitis,3,Rate,2021,70.18411130205,97.52684047685,47.23994607676
6,Incidence,1,Global,3,Both,19,70-74 years,535,Pancreatitis,3,Rate,2021,80.17829394883,111.47260967081,55.874211314179995
6,Incidence,1,Global,3,Both,20,75-79 years,535,Pancreatitis,3,Rate,2021,88.93462975599,122.07590675521,62.97425004672
6,Incidence,1,Global,3,Both,28,<1 year,535,Pancreatitis,3,Rate,2021,0.0,0.0,0.0
6,Incidence,1,Global,3,Both,30,80-84 years,535,Pancreatitis,3,Rate,2021,103.13301539774001,142.18175357394,71.75317707235
6,Incidence,1,Global,3,Both,31,85-89 years,535,Pancreatitis,3,Rate,2021,114.14004685477,158.02513794081,82.70396640162
6,Incidence,1,Global,3,Both,31,85-89 years,847,Acute myeloid leukemia,3,Rate,2021,18.70832963318,20.943537677160002,15.16268425507
6,Incidence,1,Global,3,Both,32,90-94 years,847,Acute myeloid leukemia,3,Rate,2021,20.16899590907,22.81244815322,15.722027125059999
6,Incidence,1,Global,3,Both,34,2-4 years,847,Acute myeloid leukemia,3,Rate,2021,0.33003376151,0.47993594539,0.21904669119
6,Incidence,1,Global,3,Both,235,95+ years,847,Acute myeloid leukemia,3,Rate,2021,11.72245781456,13.69741718183,8.65339374515
6,Incidence,1,Global,3,Both,34,2-4 years,302,Diarrheal diseases,3,Rate,2021,47673.476790361405,61842.13179114271,35264.82122973234
6,Incidence,1,Global,3,Both,28,<1 year,534,Gallbladder and biliary diseases,3,Rate,2021,0.0,0.0,0.0
6,Incidence,1,Global,3,Both,30,80-84 years,534,Gallbladder and biliary diseases,3,Rate,2021,2275.38845899541,2882.06273151973,1693.88920805953
6,Incidence,1,Global,3,Both,31,85-89 years,534,Gallbladder and biliary diseases,3,Rate,2021,2310.2202530151003,2920.17868591039,1769.2463940940502
6,Incidence,1,Global,3,Both,32,90-94 years,534,Gallbladder and biliary diseases,3,Rate,2021,2240.81639448009,2851.38360295904,1659.4368219036598
6,Incidence,1,Global,3,Both,34,2-4 years,534,Gallbladder and biliary diseases,3,Rate,2021,68.94000642779,93.78135527516001,50.16271433559
6,Incidence,1,Global,3,Both,28,<1 year,536,Gastroesophageal reflux disease,3,Rate,2021,0.0,0.0,0.0
6,Incidence,1,Global,3,Both,30,80-84 years,536,Gastroesophageal reflux disease,3,Rate,2021,6314.6316204883,8453.19596797668,4355.70744825401
6,Incidence,1,Global,3,Both,31,85-89 years,536,Gastroesophageal reflux disease,3,Rate,2021,5751.59878887482,7607.56223189011,4131.309381127319
